INSEE_COM;Annee;Nb_mutations;NbMaisons;NbApparts;propmaison;propappart;PrixMoyen;Prixm2Moyen;SurfaceMoy
01001;2023;8;8;0;100;0;269375;2249.5;118.125
01002;2023;2;2;0;100;0;199350;1913.5;96
01004;2023;158;89;69;56.3291139240506;43.6708860759494;210114.639240506;2399.62025316456;89.6392405063291
01005;2023;27;22;5;81.4814814814815;18.5185185185185;357840.259259259;3287.96296296296;109.185185185185
01007;2023;39;38;1;97.4358974358974;2.56410256410256;231436.461538462;2274.87179487179;105.230769230769
01008;2023;5;5;0;100;0;182550;2538.8;72.4
01009;2023;6;4;2;66.6666666666667;33.3333333333333;222916.666666667;1862.66666666667;112.166666666667
01010;2023;18;10;8;55.5555555555556;44.4444444444444;191888.833333333;2795.94444444444;71.5
01011;2023;5;4;1;80;20;193800;2210.8;92.8
01012;2023;8;8;0;100;0;162462.5;1925.375;90.5
01013;2023;2;2;0;100;0;77000;1006.5;70.5
01014;2023;20;12;8;60;40;168688.25;1763.6;90.25
01015;2023;9;9;0;100;0;216688.888888889;1926.55555555556;109.777777777778
01016;2023;4;4;0;100;0;209375;2274;91.75
01017;2023;9;8;1;88.8888888888889;11.1111111111111;117111.111111111;1388.33333333333;81.3333333333333
01021;2023;6;5;1;83.3333333333333;16.6666666666667;403089.166666667;4077.33333333333;99.6666666666667
01022;2023;17;16;1;94.1176470588235;5.88235294117647;198789.705882353;2069.82352941176;96.3529411764706
01023;2023;1;1;0;100;0;155000;1845;84
01024;2023;29;24;5;82.7586206896552;17.2413793103448;257846.551724138;2348.79310344828;114.931034482759
01025;2023;33;32;1;96.969696969697;3.03030303030303;232281.212121212;2112.09090909091;112.757575757576
01026;2023;6;6;0;100;0;226000;2300.33333333333;110.166666666667
01027;2023;10;10;0;100;0;294626.5;3153.4;100.7
01028;2023;6;6;0;100;0;271783.333333333;2622.5;111.5
01029;2023;7;7;0;100;0;166428.571428571;1778.14285714286;95.8571428571429
01030;2023;9;8;1;88.8888888888889;11.1111111111111;198744.444444444;2287;87.5555555555556
01031;2023;26;10;16;38.4615384615385;61.5384615384615;142051.923076923;1913.38461538462;72.4230769230769
01032;2023;21;16;5;76.1904761904762;23.8095238095238;295619.904761905;3371.09523809524;94.7142857142857
01033;2023;210;63;147;30;70;186027.576190476;2444.85238095238;77.7428571428571
01034;2023;94;46;48;48.936170212766;51.063829787234;184513.404255319;2048.74468085106;89.6914893617021
01035;2023;5;4;1;80;20;210900;2369;88.2
01036;2023;15;15;0;100;0;200233.333333333;2036.8;105.333333333333
01037;2023;4;4;0;100;0;167750;2470.75;63
01038;2023;4;4;0;100;0;213750;1586;115
01039;2023;2;2;0;100;0;77100;1396;71
01040;2023;3;3;0;100;0;153333.333333333;1399.66666666667;120.666666666667
01041;2023;7;7;0;100;0;198714.285714286;2167.14285714286;91.7142857142857
01042;2023;2;2;0;100;0;228250;2939.5;78
01043;2023;45;34;11;75.5555555555556;24.4444444444444;414462.822222222;3926.64444444444;105.844444444444
